date,oil_spot,oil_futures,oil_futures_rs,c0,c0_rs,c1,c1_rs,c2,c2_rs,c3,c3_rs,c4,c4_rs,c5,c5_rs,c6,c6_rs,c7,c7_rs,c8,c8_rs,c9,c9_rs
20020320,25.42,24.229,0,7.8155,0,6.8808,0,3.7609,0,63300,0,5272.1,0,54263.5,0,31384,0,70997.5,0,102400.1,0,8214,0
20020321,25.79,24.722,0,7.787,0,6.971,0,3.9954,0,63269,0,5271.5,0,53967,0,32322,0,70605,0,102457.4,0,8274,0
20020322,25.65,24.586,0,7.6585,0,6.9318,0,3.9434,0,63344,0,5279.7,0,54070.5,0,31501,0,69825,0,102424.8,0,8031,0
20020325,25.68,24.44,0,7.5585,0,6.8582,0,3.9821,0,63118,0,5273.7,0,53709.5,0,30400,0,69717.5,0,102360.6,0,7867,0
20020326,25.75,24.682,0,7.6345,0,6.9855,0,3.9512,0,62747,0,5247.6,0,54194,0,29981,0,70337.5,0,102818.9,0,7992,0
20020327,25.79,24.971,0,7.6935,0,7.0616,0,3.8866,0,62683,0,5249.1,0,53998,0,29352,0,70067.5,0,102925.1,0,8144,0
20020328,26.21,25.212,0,7.809,0,7.0837,0,3.8669,0,62710,0,5309.3,0,54374,0,29470,0,70420,0,102525,0,8273.5,0
20020402,27.75,26.013,0,7.8155,0,7.3595,0,4.0964,0,62708,0,5319.8,0,53488,0,29327,0,66655,-4875,103020.5,0,8671,0
20020403,27.57,25.952,0,7.611,0,7.3732,0,3.9787,0,62857,0,5296.2,0,53478,0,30224,0,66350,0,103567.5,0,8503,0
20020404,26.64,25.411,0,7.5025,0,7.2226,0,3.8618,0,62681,0,5288.9,0,52939.5,0,29956,0,64975,0,103662.2,0,8317,0
20020405,26.21,25.002,0,7.4255,0,7.1455,0,3.8228,0,62893,0,5279.8,0,53105.5,0,29945,0,64320,0,104076.5,0,8185,0
20020408,26.76,25.083,0,7.422,0,7.2178,0,3.8735,0,62685,0,5248.1,0,52120.5,0,29720,0,63330,0,103996.5,0,8397,0
20020409,25.46,24.553,0,7.4575,0,7.0993,0,3.7716,0,62557,0,5253.8,0,52255.5,0,30421,0,63940,0,104185.6,0,8359.5,0
20020410,26.15,24.628,0,7.427,0,7.0876,0,3.7478,0,62725.1,0,5281.9,0,52765,0,29893,0,62690,0,104118.4,0,8339,0
20020411,24.93,23.863,0,7.4205,0,6.8428,0,3.6707,0,62846,0,5325.6,0,52171,0,29165,0,62765,0,104244.7,0,7901,0
20020412,23.51,22.878,0,7.3725,0,6.4947,0,3.7104,0,62953,0,5324.6,0,51993.5,0,28568,0,62192.5,0,104628.2,0,7367,0
20020415,24.53,23.73,0,7.3555,0,6.7726,0,3.9685,0,62997,0,5298.4,0,52209.5,0,27590,0,62187.5,0,104854.6,0,7822,0
20020416,24.92,24.005,0,7.444,0,6.818,0,3.877,0,63183,0,5305.8,0,53586.5,0,27007,0,62607.5,0,104583,0,7934,0
20020417,25.94,24.599,0,7.5445,0,6.944,0,4.0085,0,63423,0,5351.5,0,53667,0,27028,0,63032.5,0,104306.3,0,8053,0
20020418,26.21,24.576,0,7.4525,0,6.9324,0,4.0024,0,63422,0,5362.7,0,53069.5,0,27280,0,62260,0,104381,0,8108,0
20020419,26.43,24.786,0,7.4945,0,6.993,0,4.0072,0,63544,0,5378.4,0,52867.5,0,27677,0,60945,0,104501.3,0,8024,0
20020422,26.33,24.986,0,7.6025,0,6.9923,0,4.0657,0,63574,0,5386.7,0,52451.5,0,27824,0,61177.5,0,104729.6,0,7902.5,0
20020423,26.83,25.062,0,7.4915,0,7.0402,0,4.0762,0,63488,0,5362.6,0,52310,0,28391,0,61080,0,104745.3,0,8013,0
20020424,26.22,24.916,0,7.53,0,6.9866,0,3.944,0,63720,0,5407,0,51914,0,28093,0,60440,0,105226.3,0,7850,0
20020425,26.45,25.16,0,7.4785,0,7.0858,0,3.8684,0,63898,0,5424.5,0,51002.5,0,28065,0,61045,0,105461.3,0,7925.5,0
20020426,27.12,25.407,0,7.535,0,7.1176,0,3.9235,0,64000,0,5417.8,0,50532.5,0,29625,1030,62667.5,0,105697.1,0,8150,0
20020429,27.45,25.633,0,7.52,0,7.2041,0,4.0616,0,63795,0,5370.8,0,50105,0,29323,0,62445,0,105463.9,0,8290.5,0
20020430,27.32,25.631,0,7.496,0,7.2196,0,4.2608,0,63742,0,5365,0,50438.5,0,28668,0,63537.5,0,105535.4,0,8165,0
20020502,26.31,24.878,0,7.45,0,6.952,0,4.2005,0,63954,0,5344.3,0,49971,0,29656,0,62247.5,0,105408.1,0,7858,0
20020503,26.75,25.131,0,7.34,0,7.0026,0,4.2685,0,63964,0,5378.6,0,49294.5,0,30662,0,62085,0,105806.4,0,7880,0
20020506,26.11,24.809,0,7.2665,0,6.8736,0,4.162,0,63771,0,5377.2,0,49166,0,30765,0,63597.5,0,105717.4,0,7748,0
20020507,26.33,25.142,0,7.3515,0,6.9711,0,4.2287,0,63703,0,5382.4,0,48684,0,30208,0,64185,0,105850.2,0,7796,0
20020508,27.76,25.687,0,7.4225,0,7.0984,0,4.321,0,63661,0,5380.4,0,50102.5,0,30226,0,63760,0,104927.7,0,7867,0
20020509,27.78,25.781,0,7.39,0,7.167,0,4.3042,0,63826,0,5425.2,0,49976,0,30043,0,62807.5,0,105136,0,7751,0
20020510,27.92,26.026,0,7.4685,0,7.266,0,4.3326,0,64118,0,5434.9,0,49191,0,30641,0,63092.5,0,105617.6,0,7890,0
20020513,28.62,26.313,0,7.4635,0,7.2953,0,4.3355,0,64231,0,5456.9,0,49807.5,0,29777,0,63152.5,0,105053.2,0,7965,0
20020514,29.17,26.87,0,7.5415,0,7.4709,0,4.4267,0,64136,0,5456.3,0,50599,0,29430,0,62765,0,104493.6,0,8244,0
20020515,28.19,25.889,0,7.568,0,7.107,0,4.2803,0,64226,0,5469.7,0,50626,0,28872,0,63042.5,0,104715.3,0,7928,0
20020516,27.95,26.045,0,7.487,0,7.1724,0,4.2689,0,64320,0,5474.6,0,50746,0,28821,0,62690,0,105184,0,7968,0
20020517,28.17,26.1,0,7.3995,0,7.1995,0,4.2704,0,64635,0,5507.7,0,50682,0,28564,0,61835,0,104849.9,0,8035,0
20020520,28.32,26.207,0,7.3645,0,7.2402,0,4.1807,0,64814,0,5540.8,0,50236.5,0,28780,0,60427.5,0,105272,0,8052,0
20020521,27.35,25.739,0,7.391,0,7.0724,0,4.0782,0,64964,0,5555.2,0,50071,0,28411,0,59460,0,105589.1,0,7852,0
20020522,26.82,25.681,0,7.3955,0,7.0747,0,4.1336,0,65151,0,5587.3,0,49304,0,28727,0,60010,0,105992.2,0,7960,0
20020523,26.67,25.628,0,7.4715,0,7.0375,0,4.1196,0,65138,0,5562.3,0,49015,0,27870,0,61280,0,105719,0,7906,0
20020524,26.28,25.453,0,7.5045,0,6.9847,0,4.0602,0,65145,0,5552.9,0,49140,0,27565,0,62085,0,105948.3,0,7836,0
20020528,25.72,24.935,0,7.672,0,6.8288,0,3.9963,0,65300,0,5609.7,0,49201,0,27435,0,62755,0,105973.8,0,7634,0
20020529,25.77,25.223,0,7.6325,0,6.9201,0,4.0901,0,65243,0,5630.6,0,48908.5,0,27838,0,62247.5,0,106423.3,0,7680,0
20020530,24.78,24.418,0,7.644,0,6.6825,0,3.8968,0,65142,0,5634.3,0,48059.5,0,27885,0,60917.5,50,105390.4,-1422,7366,0
20020531,25.37,24.702,0,7.76,0,6.781,0,3.8605,0,65421,0,5664.2,0,48482,0,28112,0,60882.5,0,105278.5,0,7410.5,0
20020603,25.1,24.596,0,7.8675,0,6.749,0,3.8518,0,65366,0,5702.1,0,47786.5,0,27660,0,62180,0,105315.8,0,7460,75
20020604,25.32,24.814,0,7.9555,0,6.8211,0,3.9119,0,65357,0,5727.1,0,46353.5,0,26694,0,62080,0,105544.1,0,7516.5,0
20020605,24.87,24.667,0,7.9485,0,6.764,0,3.855,0,65231,0,5722.4,0,46441,0,26185,0,61265,0,105355.9,0,7514,0
20020606,24.77,24.853,0,7.9,0,6.7751,0,3.8097,0,65257,0,5750.5,0,46901,0,26440,0,61467.5,0,105589.1,0,7477,0
20020607,24.75,24.858,0,7.909,0,6.784,0,3.8283,0,65132,-150,5676.7,-53,45770,0,26037,0,61182.5,0,105401.8,0,7518,0
20020610,24.27,24.53,0,7.92,0,6.6903,0,3.7778,0,64813,0,5655.3,0,45764,0,26155,0,61700,0,105487.8,0,7387,0
20020611,24.12,24.421,0,7.774,0,6.6563,0,3.7703,0,64833,0,5638.3,0,46672.5,0,26225,0,62667.5,0,105831.3,0,7309,0
20020612,24.62,24.747,0,7.7655,0,6.761,0,3.7171,0,64930,0,5669.5,0,45367,0,26005,0,62710,0,106114.4,0,7500.5,0
20020613,25.54,25.441,0,7.777,0,6.974,0,3.8378,0,64793,0,5619.4,0,44915,0,26452,0,62855,0,106406.1,0,7778,0
20020614,25.48,25.679,0,7.7645,0,7.0253,0,3.9723,0,64522,0,5560.8,0,44301.5,0,26510,0,62460,0,107250,0,7844,0
20020617,26.34,25.706,0,7.7345,0,7.016,0,4.0268,0,64445,0,5530.3,0,44537,0,26780,0,63537.5,0,106869.6,0,7914.5,0
20020618,25.77,25.258,0,7.727,0,6.937,0,3.9728,0,64578,0,5607.1,0,44407,0,27330,0,63995,0,106973.9,0,7773,0
20020619,25.89,25.21,0,7.703,0,6.8913,0,3.9836,0,64740,0,5607.7,0,43941,0,26866,0,63825,0,107745.4,0,7690,0
20020620,25.62,25.576,0,7.6445,0,6.9744,0,3.9171,0,65190,0,5665,0,42968,370,27575,0,63670,0,107109.1,0,7704,0
20020621,25.5,25.43,0,7.572,0,6.872,0,3.9254,0,65575,0,5694.3,0,42748.5,0,27876,0,63705,0,107575,0,7579,0
20020624,26.12,25.851,0,7.5415,0,7.0123,0,4.0833,0,65548,0,5635,0,41511.5,0,28244,0,63260,0,107189.1,0,7756.5,0
20020625,26.32,25.66,0,7.6225,0,6.999,0,4.1045,0,65762,0,5668.9,0,42648.5,0,28565,0,63742.5,0,107152.9,0,7754,0
20020626,26.77,25.819,0,7.642,0,7.0299,0,3.9609,0,65806,0,5568.4,0,41215,0,28316,0,63552.5,0,108090.7,0,7837.5,0
20020627,26.87,25.931,0,7.6585,0,7.043,0,3.8733,0,65924,0,5573.2,0,42088,0,28420,0,63410,0,107349.9,0,7886,0
20020628,26.87,26.012,0,7.8355,0,7.068,0,3.8774,0,65899,0,5597,0,43940,0,28714,0,63530,0,107209.3,0,7850,0
20020701,26.82,26.022,0,7.805,0,7.0735,0,3.8515,0,65743,0,5575,0,43915.5,0,28471,0,64642.5,0,107304.8,0,7899.5,30
20020702,26.77,25.993,0,7.698,0,7.121,0,3.8239,0,65389,0,5591.9,0,42526.5,0,27722,0,64930,0,107900.4,0,7916,0
20020703,26.82,25.972,0,7.6205,0,7.117,0,3.8282,0,65149,0,5562.2,0,42533,0,27485,0,64492.5,0,107853.4,0,7850.5,0
20020708,26.12,25.519,0,7.682,0,6.9632,0,3.6896,0,65592,0,5614.9,0,44692.5,0,28181,0,64195,0,107411,0,7629,0
20020709,26.07,25.481,0,7.6835,0,6.978,0,3.733,0,65978,0,5650.2,0,44453,0,28001,0,63850,0,107891.1,0,7697,0
20020710,26.77,26.007,0,7.658,0,7.1032,0,3.6374,0,65728,0,5622.5,0,42987,0,27457,-270,63830,0,108579.5,0,7883,0
20020711,26.82,26.049,0,7.5855,0,7.134,0,3.6059,0,65627,0,5550.6,0,41227.5,0,27228,0,65112.5,0,108848.1,0,7971,0
20020712,27.47,26.504,0,7.5285,0,7.2657,0,3.5777,0,65158,0,5560.4,0,41724.5,0,27007,0,65435,0,108993.9,0,8229,0
20020715,27.07,26.226,0,7.4725,0,7.172,0,3.5652,0,64997,0,5562.8,0,39968.5,0,26640,0,65145,0,109278.2,0,8261.5,0
20020716,27.77,26.795,0,7.51,0,7.3067,0,3.602,0,65000,0,5537.4,0,39588.5,0,25660,0,65355,0,108423.1,0,8413.5,0
20020717,27.87,26.908,0,7.4375,0,7.3159,0,3.5699,0,64744,0,5479.2,0,40487.5,0,25961,0,65707.5,0,108729.5,0,8477,0
20020718,27.57,26.737,0,7.411,0,7.2601,0,3.5904,0,64669,0,5499.4,0,41074.5,0,26146,0,65865,0,109102.9,0,8345.5,0
20020719,27.82,26.879,0,7.2875,0,7.2609,0,3.5848,0,64737,0,5540.2,0,39292.5,0,25710,0,65545,0,109464.3,0,8369,0
20020722,26.62,26.06,0,7.1395,0,7.007,0,3.5912,0,63975,0,5456.8,0,37315.5,0,25190,0,67797.5,2450,110125.1,0,8133,0
20020723,26.27,25.694,0,7.0885,0,6.9215,0,3.5223,0,62967,0,5364.1,0,36267,0,25388,0,67025,0,110266.7,0,7977.5,0
20020724,26.77,25.941,0,7.0435,0,7.0438,0,3.6093,0,63474,0,5383,0,34835.5,0,24820,0,66710,0,110775.4,0,8194,0
20020725,26.42,26.003,0,6.9975,0,7.0438,0,3.532,0,63513,0,5384.9,0,36031,0,25076,0,67705,0,110820,0,8228.6,0
20020726,26.57,25.796,0,7.013,0,6.9966,0,3.5347,0,62972,0,5334.5,0,35838.5,0,25243,0,67622.5,0,111048.5,0,8191.5,0
20020729,26.49,25.781,0,7.071,0,6.971,0,3.505,0,63474,0,5376.3,0,37961,0,25396,0,67720,0,109992.6,0,8308,0
20020730,27.37,26.367,0,7.014,0,7.1465,0,3.4764,0,63404,0,5411,0,38122,0,25105,0,67685,0,109770.3,0,8544,0
20020731,27.02,26.077,0,6.912,0,7.087,0,3.5209,0,62995,0,5401.8,0,38046.5,0,25772,0,67735,0,110529.7,0,8150,0
20020801,26.47,25.714,0,6.9385,0,6.9917,0,3.4601,0,62769,0,5375,0,35912,0,26053,0,67095,0,111015.7,0,7650,-220
20020802,26.82,24.013,-1.961,7.165,0.2455,6.857,-0.2137,3.9597,0.4902,62928,0,5366.7,0,35560,0,26046,0,67210,0,112056.6,0,7747,0
20020805,26.57,23.89,0,7.1,0,6.822,0,3.9083,0,62586,0,5266.9,0,34132,0,25209,0,67012.5,0,112377.9,0,7679,0
20020806,27.2,24.226,0,7.116,0,6.892,0,3.9543,0,63030,0,5286.9,0,35357,0,24518,0,67880,0,111442.5,0,7759,0
20020807,26.55,23.891,0,7.0795,0,6.816,0,3.9648,0,63359,0,5348.7,0,35074.5,0,24440,0,67810,0,112039.3,0,7556,0
20020808,26.67,24.035,0,7.1095,0,6.855,0,3.989,0,63235,0,5323.4,0,36188.5,0,24607,0,67605,0,111439.5,0,7547,0
20020809,26.87,24.093,0,7.1285,0,6.837,0,3.9869,0,63460,0,5341.2,0,37397,0,24343,0,68560,0,112379.6,0,7537,0
20020812,27.87,24.45,0,7.122,0,6.987,0,4.0634,0,63407,0,5386.1,0,36742.5,0,24126,0,68535,0,112678.2,0,7751,0
20020813,27.92,24.35,0,7.1,0,6.933,0,4.0437,0,63868,0,5360.5,0,36705,0,24580,0,68670,0,113268.3,0,7743.5,0
20020814,28.15,24.479,0,7.0505,0,6.941,0,4.0011,0,63914,0,5352.4,0,35637,0,24251,0,68655,0,113282.5,0,7772,0
20020815,28.27,24.861,0,7.1525,0,7.1145,0,4.0608,0,63973,0,5413.5,0,37032,0,24489,0,68750,0,112526.9,0,7969,0
20020816,29.32,24.709,0,7.0925,0,7.082,0,4.0807,0,64056,0,5438.6,0,37020,0,24434,0,68650,0,111617.5,0,7923,0
20020819,29.82,24.772,0,7.07,0,7.055,0,4.158,0,63625,0,5409.7,0,38255.5,0,24886,0,68495,0,111699.9,0,7896,0
20020820,30.12,24.773,0,7.148,0,7.064,0,4.0772,0,63751,0,5451.3,0,38039.5,0,24617,0,67740,0,112681.2,0,7980,0
20020821,30.52,24.738,0,7.1005,0,7.073,0,4.1179,0,64115,0,5425.3,0,38463.5,0,25170,0,67432.5,0,112562.2,0,8048,0
20020822,30.15,24.709,0,7.18,0,7.02,0,4.2158,0,64075,0,5393.8,0,39190.5,0,24875,0,68110,0,112009,0,7954,0
20020823,29.92,24.822,0,7.1885,0,7.014,0,4.215,0,64215,0,5420.1,0,38418,0,24706,0,67285,0,112481.6,0,7943,0
20020826,29.27,24.991,0,7.2205,0,7.078,0,4.3234,0,64248,0,5425.9,0,37949,0,24745,0,67080,0,112684,0,8187,0
20020827,28.85,24.803,0,7.243,0,7.047,0,4.2379,0,64334,0,5534.3,0,38842,0,24152,0,67005,0,112225.1,0,8168,0
20020828,28.32,24.879,0,7.205,0,7.045,0,4.1747,0,64132,0,5511.2,0,37153.5,0,23834,0,67365,0,111208,-1360,8040,0
20020829,28.92,25.044,0,7.205,0,7.095,0,4.1162,0,64156,0,5507.9,0,36383,0,23395,0,67140,0,111625,0,8133,0
20020830,28.97,24.99,0,7.2255,0,7.085,0,4.1923,0,64106,0,5501.7,0,36875.5,0,22885,0,67225,0,111857.5,0,8148,0
20020903,27.77,24.46,0,7.115,0,6.927,0,4.1134,0,64416,0,5478.3,0,34593,0,22875,0,66985,0,112970.1,0,7491,-385
20020904,28.27,24.671,0,7.09,0,7.04,0,4.1578,0,63816,0,5440.9,0,34468,0,22925,0,67042.5,0,113257.6,0,7616.5,0
20020905,28.97,24.93,0,7.0365,0,7.102,0,4.2,0,63609,0,5412.2,0,34004.5,0,22098,0,67962.5,0,113623.4,0,7754.5,0
20020906,29.62,24.924,0,7.0955,0,7.093,0,4.1225,0,63892,-160,5425.3,-41,34567.5,0,22470,0,68060,0,112860.7,0,7864,0
20020909,29.72,24.968,0,7.2495,0,7.077,0,4.2001,0,63681,0,5436.1,0,34060,0,22524,280,67945,0,112714.3,0,7911.5,0
20020910,29.72,24.923,0,7.37,0,7.069,0,4.201,0,63439,0,5433.3,0,34875,0,22797,0,68512.5,0,112984.5,0,7999,0
20020911,29.77,24.805,0,7.35,0,7.043,0,4.1644,0,63123,0,5433.1,0,35989.5,0,22860,0,69100,0,112609.4,0,8062,0
20020912,28.85,24.377,0,7.335,0,6.9143,0,4.1825,0,62829,0,5486,0,34558.5,0,23090,0,69625,0,113145.2,0,7887,0
20020913,29.82,24.56,0,7.28,0,7.004,0,4.2581,0,62941,0,5461.2,0,33321.5,0,22693,0,70200,0,113638.8,0,8060,0
20020916,29.67,24.471,0,7.1715,0,6.959,0,4.225,0,63077,0,5443.3,0,33162,0,22334,0,69810,0,113837.5,0,7949,0
20020917,29.07,24.187,0,7.1665,0,6.9,0,4.2687,0,63053,0,5435.6,0,32952.5,0,22094,0,69847.5,0,113959.1,0,7758.5,0
20020918,29.47,24.102,0,7.0695,0,6.911,0,4.3147,0,63165,0,5444.4,0,31411.5,0,22327,0,69760,0,114087,0,7969,0
20020919,29.5,24.243,0,7.0595,0,6.8997,0,4.273,0,63367,0,5460.3,0,30659.5,260,21593,0,69775,0,114559.3,0,7996.5,0
20020920,29.62,24.051,0,7.1025,0,6.819,0,4.2115,0,63331,0,5420.1,0,30473,0,22133,0,72120,2600,114645.8,0,8120,0
20020923,30.67,24.082,0,7.055,0,6.851,0,4.2895,0,63044,0,5400,0,29564,0,22350,0,71220,0,115306.5,0,8395.5,0
20020924,30.82,24.055,0,7.007,0,6.8624,0,4.1925,0,62802,0,5401.4,0,28578,0,21884,0,71180,0,115501.6,0,8307,0
20020925,30.42,23.983,0,7.052,0,6.886,0,4.1972,0,63133,0,5419.7,0,28929,0,21775,0,71715,0,114763.9,0,8150,0
20020926,30.42,24.243,0,7.072,0,6.9005,0,4.2272,0,63230,0,5404.5,0,30752.5,0,22167,0,70852.5,0,114708.3,0,8099,0
20020927,30.52,24.098,0,6.971,0,6.8637,0,4.2491,0,63257,0,5396.9,0,30047,0,22390,0,70370,0,115243.5,0,8173,0
20020930,30.47,24.244,0,6.95,0,6.857,0,4.2737,0,62902,0,5394.5,0,27822.5,0,21940,0,70525,0,115905.1,0,8066,0
